Altitude (m)	Pressure (Pa)
11127.97507	22185
11131.9634	22167
11131.67845	22169
11134.52841	22164
11131.9634	22164
11134.24336	22162
11127.97507	22188
11126.26641	22187
11127.40548	22188
11126.83592	22184
11134.24336	22166
11139.66094	22145
11137.66455	22146
11141.65784	22137
11142.22848	22124
11149.36496	22108
11148.50824	22108
11149.36496	22107
11151.93569	22107
11152.79279	22097
11151.65001	22093
11152.79279	22095
11157.0797	22076
11158.22328	22080
11159.65298	22075
11159.36702	22074
11158.22328	22072
11159.93895	22066
11162.79925	22069
11161.65501	22063
11163.08534	22069
11160.79693	22064
11161.94105	22066
11163.37144	22059
11169.38193	22044
11169.66826	22045
11171.95927	22026
11171.67286	22034
11177.40313	22007
11180.26985	22004
11216.19314	21884
11316.50292	21533
11310.08613	21560
11322.633	21513
11328.18343	21487
11197.49235	21940
11197.20499	21939
11259.52114	21863
11256.046	21726
11335.7852	21469
11365.67973	21360
11373.31839	21319
11360.98276	21393
11345.44435	21425
11348.08076	21419
11222.82112	21850
11223.68606	21845
11227.14676	21839
11228.30067	21844
11228.01218	21839
11226.85831	21838
11250.54688	21746
11284.1813	21623
11286.5063	21642
11295.23122	21617
11339.58889	21495
11332.86056	21474
11332.56816	21480
11334.9077	21469
11348.95976	21411
11418.71791	21184
11411.03434	21223
11388.91287	21292
11385.0849	21291
11384.49615	21296
11384.20179	21294
11369.79192	21362
11366.85442	21360
11366.56073	21356
11355.40881	21405
11357.16857	21397
11353.35625	21396
11360.39584	21387
11362.74379	21369
11360.39584	21372
11356.28864	21387
11360.98276	21375
11359.22213	21383
11373.61234	21335
11372.14272	21347
11368.91055	21357
11378.02285	21318
11383.61311	21296
11406.30979	21217
11409.55761	21217
11408.08116	21218
11398.34363	21248
11387.14588	21291
11379.78776	21312
11408.6717	21224
11376.5524	21344
11353.35625	21370
11400.11318	21226
11410.14827	21222
11411.92052	21214
11418.42225	21184
11418.71791	21183
11398.93344	21253
11393.33211	21268
11374.78823	21356
11301.63574	21575
11293.77638	21613
11290.57671	21616
11294.35829	21612
11293.19453	21612
11291.44922	21615
11295.52222	21606
11294.94023	21607
11294.06733	21609
11295.81323	21597
11299.30621	21588
11301.63574	21581
11299.59736	21583
11299.59736	21586
11301.05329	21585
11302.80076	21577
11303.38334	21572
11305.42271	21569
11307.17116	21566
11309.21153	21553
11310.08613	21559
11310.37769	21560
11308.62851	21556
11310.08613	21551
11310.66926	21545
11310.96084	21547
11319.12951	21523
11321.46499	21520
11318.54574	21522
11320.29716	21515
11321.46499	21521
11322.04897	21509
11321.17302	21513
11320.5891	21507
11325.84592	21500
11324.67743	21498
11325.55378	21502
11327.01459	21493
11331.39866	21492
11326.72241	21489
11328.47567	21492
11331.98339	21475
11331.10631	21475
11333.4454	21479
11331.98339	21468
11335.49269	21460
11339.29623	21443
11351.01115	21408
11380.08195	21303
11408.08116	21213
11410.73897	21212
11411.62512	21203
11378.90525	21302
11360.1024	21392
11356.87525	21399
11354.52907	21404
11351.59736	21410
11350.42498	21408
11351.59736	21415
11351.01115	21413
11380.08195	21322
11444.48395	21094
11446.26409	21091
11426.70508	21172
11393.03741	21302
11373.61234	21343
11368.61679	21364
11359.80897	21387
11356.28864	21387
11358.0486	21390
11358.92873	21390
11357.4619	21388
11359.22213	21385
11358.34197	21388
11355.40881	21398
11358.92873	21383
11358.92873	21379
11360.1024	21384
